Просмотры,Время просмотра (часы),Поделились,Постоянные зрители,Новые комментарии,Отказались от подписки,Новые подписчики,Новые зрители,Среднее число просмотров одним пользователем,Уникальные зрители,CTR для значков видео (%),Показы,Подписчики,Средний процент просмотра (%),Процент лайков,Средняя продолжительность просмотра,Дизлайки,Лайки
1308.0,50.0464,30.0,178.0,1.0,2.0,6.0,456.0,2.0631,634.0,6.82,10438.0,4.0,26.17,92.31,137.74238532110093,2.0,24.0
1408.0,47.0448,15.0,196.0,1.0,2.0,13.0,473.0,2.1046,669.0,6.25,11462.0,11.0,23.12,95.0,120.285,1.0,19.0
1350.0,51.1429,2.0,215.0,0.0,1.0,12.0,476.0,1.9537,691.0,5.89,11572.0,11.0,25.34,100.0,136.38106666666667,0.0,70.0
1302.0,53.4319,11.0,221.0,0.0,3.0,9.0,464.0,1.9007,685.0,6.59,10537.0,6.0,26.32,88.89,147.73797235023042,3.0,24.0
1412.0,52.8261,2.0,229.0,0.0,2.0,10.0,509.0,1.9133,738.0,6.99,10086.0,8.0,25.09,100.0,134.68410764872522,0.0,16.0
820.0,30.1115,6.0,142.0,0.0,4.0,7.0,309.0,1.8182,451.0,6.09,6998.0,3.0,24.09,91.67,132.19682926829267,1.0,11.0
851.0,29.4147,5.0,143.0,1.0,2.0,6.0,332.0,1.7916,475.0,6.18,7448.0,4.0,22.39,100.0,124.43351351351352,0.0,9.0
1289.0,51.7114,71.0,187.0,1.0,1.0,5.0,454.0,2.0109,641.0,7.11,8822.0,4.0,28.16,92.0,144.42283941039565,2.0,23.0
1258.0,56.1098,5.0,233.0,1.0,1.0,9.0,465.0,1.8023,698.0,5.63,10271.0,8.0,28.19,100.0,160.56858505564387,0.0,13.0
1437.0,54.8539,7.0,224.0,0.0,2.0,8.0,523.0,1.9237,747.0,6.95,10366.0,6.0,24.71,94.74,137.42104384133611,1.0,18.0
1348.0,48.4133,9.0,211.0,0.0,3.0,11.0,511.0,1.867,722.0,6.33,11319.0,8.0,23.29,100.0,129.29367952522256,0.0,27.0
1263.0,46.1285,7.0,236.0,1.0,2.0,10.0,556.0,1.5947,792.0,6.93,9907.0,8.0,22.22,95.0,131.48266033254157,1.0,19.0
884.0,35.8305,1.0,154.0,2.0,1.0,4.0,311.0,1.9011,465.0,6.94,6630.0,3.0,25.56,100.0,145.9160633484163,0.0,16.0
859.0,35.6035,8.0,147.0,1.0,2.0,7.0,343.0,1.7531,490.0,5.47,6601.0,5.0,26.7,90.0,149.21140861466822,1.0,9.0
1074.0,43.4838,13.0,182.0,0.0,3.0,7.0,474.0,1.6372,656.0,7.31,7693.0,4.0,25.09,90.48,145.75575418994416,2.0,19.0
1147.0,46.0377,5.0,185.0,1.0,1.0,6.0,513.0,1.6433,698.0,6.59,8344.0,5.0,24.15,96.0,144.49496076721883,1.0,24.0
1171.0,47.4522,4.0,198.0,0.0,5.0,6.0,521.0,1.6287,719.0,6.96,8836.0,1.0,24.54,100.0,145.88208368915454,0.0,18.0
1173.0,49.2122,8.0,203.0,0.0,2.0,5.0,520.0,1.6224,723.0,7.46,7373.0,3.0,26.19,100.0,151.03488491048594,0.0,25.0
1156.0,41.0076,3.0,223.0,0.0,4.0,3.0,530.0,1.5352,753.0,6.5,8304.0,-1.0,21.14,88.24,127.70532871972317,2.0,15.0
868.0,31.0542,4.0,155.0,0.0,3.0,4.0,366.0,1.666,521.0,7.54,5784.0,1.0,22.27,92.31,128.7962211981567,1.0,12.0
862.0,32.8614,11.0,149.0,0.0,5.0,8.0,366.0,1.6738,515.0,6.35,7271.0,3.0,24.31,92.86,137.2401856148492,1.0,13.0
584.0,23.0605,9.0,103.0,1.0,3.0,4.0,272.0,1.5573,375.0,6.33,4106.0,1.0,24.72,100.0,142.15376712328768,0.0,12.0
1183.0,49.9512,5.0,191.0,2.0,2.0,8.0,445.0,1.863,635.0,6.29,8460.0,6.0,26.74,87.5,152.00703296703298,2.0,14.0
1258.0,49.9691,8.0,213.0,1.0,2.0,7.0,471.0,1.8392,684.0,5.7,11418.0,5.0,25.02,94.74,142.9958346581876,1.0,18.0
1195.0,46.0657,4.0,201.0,2.0,3.0,8.0,521.0,1.6551,722.0,6.75,8774.0,5.0,23.43,100.0,138.77533054393305,0.0,18.0
1303.0,46.8729,6.0,192.0,2.0,2.0,6.0,539.0,1.7825,731.0,6.54,10018.0,4.0,22.32,77.78,129.50302379125097,4.0,14.0
818.0,30.8953,2.0,124.0,0.0,8.0,4.0,319.0,1.8465,443.0,5.36,8084.0,-4.0,24.49,100.0,135.96953545232273,0.0,11.0
1025.0,41.3191,5.0,155.0,0.0,2.0,10.0,375.0,1.934,530.0,5.49,9032.0,8.0,25.87,91.3,145.12074146341465,2.0,21.0
1111.0,42.0427,8.0,187.0,2.0,0.0,5.0,482.0,1.6607,669.0,6.26,9135.0,5.0,23.95,89.47,136.23197119711972,2.0,17.0
1272.0,48.6485,13.0,232.0,0.0,2.0,10.0,506.0,1.7236,738.0,6.72,9460.0,8.0,23.99,94.74,137.68443396226417,1.0,18.0
1373.0,52.438,15.0,250.0,0.0,2.0,7.0,550.0,1.7163,800.0,5.4,13477.0,5.0,23.84,90.32,137.49220684632195,3.0,28.0
1505.0,58.3333,10.0,221.0,2.0,2.0,6.0,558.0,1.932,779.0,5.97,12327.0,4.0,25.45,95.83,139.53480398671095,1.0,23.0
